Indicator,Value ,Year
,Energy Consumption: Sum (TJ),1429029.681,1994
,Emissions:Natural Gas (tons of CO2eq),100204.736,1994
,Emissions: Diesel oil (tons of CO2eq),57330955.79,1994
,Emissions: Gasoline (tons of CO2eq),28043993.99,1994
,Emissions: Sum (tons of CO2eq),85475154.51,1994
,Natural gas (TJ),1810.315584,1995
,Diesel oil (TJ),809744.095,1995
,Biodiesel (TJ),0,1995
,Gasoline (TJ),464410.661,1995
,Anhydrous ethanol (TJ),75616.5942,1995
,Hydrated ethanol (TJ),212905.4684,1995
,Energy Consumption: Sum (TJ),1564487.134,1995
,Emissions:Natural Gas (tons of CO2eq),106739.8275,1995
,Emissions: Diesel oil (tons of CO2eq),61047336.09,1995
,Emissions: Gasoline (tons of CO2eq),33579212.84,1995
,Emissions: Sum (tons of CO2eq),94733288.76,1995
,Natural gas (TJ),1330.027776,1996
,Diesel oil (TJ),846934.6179,1996
,Biodiesel (TJ),0,1996
,Gasoline (TJ),543739.7729,1996
,Anhydrous ethanol (TJ),90910.3419,1996
,Hydrated ethanol (TJ),209459.0799,1996
,Energy Consumption: Sum (TJ),1692373.84,1996
,Emissions:Natural Gas (tons of CO2eq),78421.09773,1996
,Emissions: Diesel oil (tons of CO2eq),63851163.08,1996
,Emissions: Gasoline (tons of CO2eq),39315104.28,1996
,Emissions: Sum (tons of CO2eq),103244688.5,1997
,Natural gas (TJ),1736.425152,1997
,Diesel oil (TJ),899740.0406,1997
,Biodiesel (TJ),0,1997
,Gasoline (TJ),594555.339,1997
,Anhydrous ethanol (TJ),112438.1979,1997
,Hydrated ethanol (TJ),177777.9927,1997
,Energy Consumption: Sum (TJ),1786247.995,1997
,Emissions:Natural Gas (tons of CO2eq),102383.0998,1997
,Emissions: Diesel oil (tons of CO2eq),67832211.43,1997
,Emissions: Gasoline (tons of CO2eq),42989323.79,1997
,Emissions: Sum (tons of CO2eq),110923918.3,1997
,Natural gas (TJ),4876.768512,1998
,Diesel oil (TJ),943024.5943,1998
,Biodiesel (TJ),0,1998
,Gasoline (TJ),620441.0268,1998
,Anhydrous ethanol (TJ),119681.4245,1998
,Hydrated ethanol (TJ),165191.1824,1998
,Energy Consumption: Sum (TJ),1853214.996,1998
,Emissions:Natural Gas (tons of CO2eq),287544.025,1998
,Emissions: Diesel oil (tons of CO2eq),71095472.88,1998
,Emissions: Gasoline (tons of CO2eq),44860988.44,1998
,Emissions: Sum (tons of CO2eq),116244005.4,1998
,Natural gas (TJ),5874.289344,1999
,Diesel oil (TJ),953579.8163,1999
,Biodiesel (TJ),0,1999
,Gasoline (TJ),578339.748,1999
,Anhydrous ethanol (TJ),134593.9497,1999
,Hydrated ethanol (TJ),150934.6931,1999
,Energy Consumption: Sum (TJ),1823322.496,1999
,Emissions:Natural Gas (tons of CO2eq),346359.8483,1999
,Emissions: Diesel oil (tons of CO2eq),71891240.57,1999
,Emissions: Gasoline (tons of CO2eq),41816855.48,1999
,Emissions: Sum (tons of CO2eq),114054455.9,1999
,Natural gas (TJ),11563.85261,2000
,Diesel oil (TJ),983205.725,2000
,Biodiesel (TJ),0,2000
,Gasoline (TJ),556975.5114,2000
,Anhydrous ethanol (TJ),127933.7693,2000
,Hydrated ethanol (TJ),116513.62,2000
,Energy Consumption: Sum (TJ),1796192.478,2000
,Emissions:Natural Gas (tons of CO2eq),681827.8775,2000
,Emissions: Diesel oil (tons of CO2eq),74124764.5,2000
,Emissions: Gasoline (tons of CO2eq),40272114.35,2000
,Emissions: Sum (tons of CO2eq),115078706.7,2000
,Natural gas (TJ),21132.66355,2001
,Diesel oil (TJ),1010973.802,2001
,Biodiesel (TJ),0,2001
,Gasoline (TJ),545777.232,2001
,Anhydrous ethanol (TJ),134728.4988,2001
,Hydrated ethanol (TJ),91125.93798,2001
,Energy Consumption: Sum (TJ),1803738.134,2001
,Emissions:Natural Gas (tons of CO2eq),1246024.108,2001
,Emissions: Diesel oil (tons of CO2eq),76218224.78,2001
,Emissions: Gasoline (tons of CO2eq),39462422.76,2001
,Emissions: Sum (tons of CO2eq),116926671.6,2001
,Natural gas (TJ),36220.8,2002
,Diesel oil (TJ),1053129.504,2002
,Biodiesel (TJ),0,2002
,Gasoline (TJ),522161.64,2002
,Anhydrous ethanol (TJ),162611.9712,2002
,Hydrated ethanol (TJ),93035.628,2002
,Energy Consumption: Sum (TJ),1867159.543,2002
,Emissions:Natural Gas (tons of CO2eq),2135650.81,2002
,Emissions: Diesel oil (tons of CO2eq),79396381.12,2002
,Emissions: Gasoline (tons of CO2eq),37754897.38,2002
