Year,Natural gas,Diesel oil,Biodiesel,Gasoline,Anhydrous ethanol,Hydrated ethanol,Sum (10³ toe),Natural gas (TJ),Diesel oil (TJ),Biodiesel (TJ),Gasoline (TJ),Anhydrous ethanol (TJ),Hydrated ethanol (TJ),Sum (TJ),Natural gas (emissions),Diesel oil (emissions),Gasoline (emissions),Sum (emissions)
,1999,139.864032,22704.28134,0.0,13769.993999999999,3204.61785,3593.6831700000002,45411.440392000004,5874.289344000001,953579.81628,0.0,578339.7479999999,134593.9497,150934.69314000002,1823322.496464,346359.8483009281,71891240.57118386,41816855.47914,114054455.8986248
,2000,275.32982400000003,23409.66012,0.0,13261.3217,3046.042125,2774.1338100000003,44766.487579,11563.852608000001,983205.72504,0.0,556975.5114,127933.76925,116513.62002000002,1796192.478318,681827.8774728961,74124764.49591814,40272114.351777,115078706.72516803
,2001,503.15865599999995,24070.8048,0.0,12994.696000000002,3207.8214,2169.6651899999997,44947.146046,21132.663551999998,1010973.8016000001,0.0,545777.2320000001,134728.4988,91125.93797999999,1803738.133932,1246024.1083530239,76218224.77904545,39462422.75976001,116926671.64715847
,2002,862.4,25074.512000000002,0.0,12432.42,3871.7136,2215.134,46458.1796,36220.799999999996,1053129.5040000002,0.0,522161.64,162611.9712,93035.628,1867159.5432000002,2135650.8096,79396381.12311362,37754897.380200006,119286929.31291363
,2003,1168.64,24251.952,0.0,13114.64,3875.238,1918.671,46332.141,49082.880000000005,1018581.984,0.0,550814.88,162759.99599999998,80584.182,1861823.922,2894024.7705600006,76791812.4975456,39826669.8984,119512507.1665056
,2004,1390.4,25938.624,0.0,13560.47,3978.8340000000003,2465.85,49338.178,58396.8,1089422.208,0.0,569539.74,167111.02800000002,103565.7,1988035.476,3443192.1216,82132520.74110721,41180570.9007,126756283.76340722
,2005,1711.281782,25803.1229,0.43153516,13595.38794,4078.520586,2884.71351,50078.45825316,71873.834844,1083731.1618,18.12447672,571006.29348,171297.864612,121157.96742,2019085.2466327199,4237825.050071928,81703467.64614761,41286610.0500714,127227902.74629094
,2006,2029.808,26156.67787,42.30943583,14439.81,2776.8437879999997,3618.26946,51069.718553830004,85251.936,1098580.47054,1776.99630486,606472.02,116627.43909599999,151967.31732,2060676.17926086,5026624.650432,82822970.39643408,43850959.406100005,131700554.4529661
,2007,2251.92,27476.535669999997,247.44053799999998,14286.58,3325.22868,5286.65949,54881.36437799999,94580.64,1154014.4981399998,10392.502595999998,600036.36,139659.60456,222039.69858,2220723.3038759995,5576663.69568,87002191.62782292,43385629.0098,135964484.33330292
,2008,2158.326184,28914.93808,696.3229651,14538.447,3532.8906,7480.017,59328.9418291,90649.699728,1214427.39936,29245.564534200003,610614.774,148381.4052,314160.714,2407479.5568222,5344887.595362336,91556774.62240982,44150501.23407,141052163.45184216
,2009,1853.3239999999998,28306.710369999997,987.3668544,14673.89,3392.1134810000003,8400.183568,59622.5882734,77839.608,1188881.83554,41469.4078848,616303.38,142468.76620200003,352807.70985600003,2419770.7074828,4589578.966895999,89630871.57501258,44561815.8909,138782266.43280858
,2010,1766.684616,31085.97327,1450.305102,17524.88495,3789.7787759999997,8243.13,65870.756714,74200.753872,1305610.87734,60912.814284,736045.1679,159170.70859199998,346211.45999999996,2682151.781988,4375024.849800864,98431179.0924522,53219745.8650095,156025949.80726257
,2011,1735.36,32903.624339999995,1573.222289,20837.8035,4504.488648,6230.308410000001,69795.807187,72885.12,1381952.2222799999,66075.336138,875187.7470000001,189188.52321599997,261672.95322000002,2846961.901854,4297452.44544,104186621.79468924,63280450.04683501,171764524.28696424
,2012,1708.7839999999999,34836.51498,1695.7468629999998,24453.792269999998,4143.54363,5762.63382,74613.01556300001,71768.928,1463133.62916,71221.368246,1027059.2753399999,174028.83246,242030.62044,3049242.653646,4231639.532736001,110306961.12263864,74261520.9034587,188800121.55883336
,2013,1647.36,37155.64982,1794.739728,24393.00314,5172.343208,6716.7,78892.79589600001,69189.12,1560537.29244,75379.068576,1024506.13188,217238.414736,282101.39999999997,3228951.427632,4079528.89344,117650310.9606148,74076915.8655834,195806755.7196382
,2014,1594.12,37433.179789999995,2080.460888,25681.84138,5882.396616,7125.907679999999,81811.906354,66953.04,1572193.5511799997,87379.357296,1078637.3379600001,247060.657872,299288.12256,3351512.0668679997,3947685.14448,118529086.79765624,77990872.72119781,200467644.66333407
,2015,1552.7544779999998,35426.66251,2434.2253920000003,23256.87662,5841.989904,9582.250259999999,80109.759164,65215.68807599999,1487919.8254200001,102237.46646400001,976788.8180399999,245363.575968,402454.51092,3279979.884888,3845247.4003371117,112175614.76625669,70626715.4883822,186647577.654976
,2016,1593.152,34262.02684,2408.560012,24181.02592,5927.54418,7952.93235,78341.24130200001,66912.384,1439005.12728,101159.520504,1015603.08864,248956.85556,334023.1587,3205660.1346839997,3945287.9854080006,108487891.65025374,73433181.3241152,185866360.95977694
,2017,1734.48,34031.05105,2678.769081,24816.45194,6446.216187,7402.275218000001,79126.243476,72848.16,1429304.1441000002,112508.301402,1042290.98148,270741.079854,310895.55915600003,3238588.225992,4295273.20992,107756525.7974287,75362849.4159114,187414648.4232601
,2018,1946.3183199999999,33567.86115,3369.040544,21557.53512,5454.427387,10263.11584,78176.298361,81745.36944,1409850.1682999998,141499.702848,905416.47504,229085.950254,431050.86528,3198648.531162,4819870.47292128,106289873.05328846,65466138.22776721,176575881.75397694
,2019,2010.4392,34297.81174,3693.624947,21452.56717,5635.633614,11855.90523,80964.981901,84438.4464,1440508.0930799998,155132.247774,901007.8211399999,236696.611788,497948.01966,3315731.2398419995,4978659.6766368,108601201.59458496,65147370.5075277,178727231.77874947
